Produit,Gluten,Lupin,Soja,Lait,Oeufs,Celeri,Fruits_a_coque,Arachides,Sesame,Moutarde,Poissons,Mollusques,Crustaces,Sulfites
KINGBOX NUGGETS X10 & CHILICHEESE X10,Absent,Absent,Traces,Présent,Présent,Présent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Absent
KINGBOX NUGGETS X10 & ONION RINGS X10,Présent,Absent,Traces,Traces,Absent,Présent,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Traces
KINGBOX ONION RINGS X10 & CHILICHEESE X10,Présent,Absent,Traces,Présent,Absent,Traces,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Traces
KING WINGS,Présent,Absent,Traces,Traces,Traces,Traces,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Présent
ONION RINGS,Présent,Absent,Traces,Traces,Traces,Traces,Traces,Absent,Absent,Traces,Absent,Absent,Absent,Traces

SAUCE AIOLI,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE POIVRE GOUT FUME,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE NOIRE A L'AIL ET AU GINGEMBRE,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
SAUCE SAVEUR WASABI,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE SECRETE,Présent,Absent,Présent,Traces,Présent,Absent,Traces,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE CUP SMOKY BACON FLAVOR,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE CUP AIGRE DOUCE XXL,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE CUP1954 XXL,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent
SAUCE CUP CHEDDAR XXL,Absent,Absent,Absent,Présent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
